Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Caen,1.0,,,4.0,3.0,,,,,
Brest,2.0,,,,7.0,6.0,10.0,4.0,5.0,2.0
Arles,3.0,,13.0,11.0,13.0,20.0,,,,
Metz,4.0,17.0,18.0,,1.0,,3.0,,,1.0
Angers,5.0,6.0,11.0,5.0,9.0,3.0,,,,
Clermont,6.0,7.0,5.0,14.0,14.0,12.0,7.0,13.0,6.0,10.0
Le Havre,7.0,9.0,15.0,6.0,12.0,7.0,4.0,8.0,4.0,7.0
Laval,8.0,15.0,16.0,17.0,17.0,8.0,13.0,20.0,,
Dijon,9.0,3.0,,7.0,6.0,4.0,2.0,,,
Nimes,10.0,19.0,,8.0,15.0,13.0,14.0,6.0,2.0,
Tours,11.0,12.0,6.0,10.0,8.0,15.0,9.0,16.0,20.0,
Sedan,12.0,5.0,4.0,19.0,,,,,,
Ajaccio,13.0,2.0,,,,17.0,17.0,11.0,3.0,17.0
Vannes,14.0,18.0,,,,,,,,
Nantes,15.0,13.0,9.0,3.0,,,,,,
Chateauroux,16.0,14.0,14.0,16.0,18.0,19.0,,,9.0,11.0
Istres,17.0,11.0,10.0,13.0,19.0,,,,,
Guingamp,18.0,,7.0,2.0,,,,,,
Strasbourg,19.0,,,,,,,1.0,,
Bastia,20.0,,1.0,,,,,,,
Evian Thonon Gaillard,,1.0,,,,,18.0,,,
Le Mans,,4.0,17.0,18.0,,,,,,
Boulogne,,8.0,19.0,,,,,,,
Reims,,10.0,2.0,,,,,7.0,1.0,
Troyes,,16.0,3.0,,10.0,1.0,,2.0,,3.0
Grenoble,,20.0,,,,,,,,9.0
Monaco,,,8.0,1.0,,,,,,
Lens,,,12.0,12.0,2.0,,6.0,5.0,14.0,5.0
Amiens,,,20.0,,,,,3.0,,
Auxerre,,,,9.0,16.0,9.0,8.0,17.0,11.0,15.0
Niort,,,,15.0,5.0,11.0,16.0,10.0,15.0,12.0
Ajaccio GFCO,,,,20.0,,2.0,,9.0,16.0,18.0
Nancy,,,,,4.0,5.0,1.0,,17.0,14.0
Creteil,,,,,11.0,14.0,19.0,,,
CA Bastia,,,,,20.0,,,,,
Sochaux,,,,,,10.0,15.0,12.0,10.0,16.0
Valenciennes,,,,,,16.0,12.0,14.0,13.0,13.0
Orleans,,,,,,18.0,,18.0,12.0,8.0
Red Star,,,,,,,5.0,19.0,,20.0
Bourg Peronnas,,,,,,,11.0,15.0,18.0,
Paris FC,,,,,,,20.0,,8.0,4.0
Lorient,,,,,,,,,7.0,6.0
Quevilly Rouen,,,,,,,,,19.0,
Beziers,,,,,,,,,,19.0
